Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000
1.1,64.46,-30.1,40.245,65.685,-29.885,40.815,1.0630077231390345,0.595541889498709,1.04646197867181
1.2,64.46,-30.1,40.245,66.47,-30.35,40.805,1.1166518009222757,0.62559557103018,1.65530543833131
1.3,64.46,-30.1,40.245,66.43,-30.19,40.02,0.7947873342228289,0.445273482401596,1.61547923608161
1.4,64.46,-30.1,40.245,65.835,-31.26,42.97,0.7411432564395877,0.415219800870125,1.46600064282006
1.5,64.46,-30.1,40.245,66.34,-29.845,40.77,0.7947873342228289,0.445273482401596,1.5643426010491
1.6,64.46,-30.1,40.245,66.555,-30.49,41.25,0.9557195675725523,0.535434526996009,1.74761464134554
1.7,64.46,-30.1,40.245,66.08,-30.315,41.25,1.1166518009222757,0.62559557103018,1.37619011826372
1.8,64.46,-30.1,40.245,66.455,-30.93,41.29,1.3848721898384815,0.775863978127292,1.68131634607193
1.9,64.46,-30.1,40.245,66.125,-30.88,41.895,1.33122811205524,0.745810296595821,1.47986945987955
1.10,64.46,-30.1,40.245,66.56,-30.405,41.325,1.1166518009222757,0.62559557103018,1.75799684391927
1.11,64.46,-30.1,40.245,65.695,-31.045,41.785,1.1702958787055167,0.655649252561651,1.15507160129422
1.12,64.46,-30.1,40.245,65.675,-30.11,39.375,0.8752534508976906,0.490354004698802,1.05802598628082
1.13,64.46,-30.1,40.245,65.93,-29.9,39.815,0.902075489789311,0.505380845464538,1.21573834048897
1.14,64.46,-30.1,40.245,65.925,-29.975,39.62,1.223939956488758,0.685702933532879,1.2236227384263
1.15,64.46,-30.1,40.245,65.775,-30.27,40.26,1.2507619953803784,0.700729774298615,1.08271906501259
1.16,64.46,-30.1,40.245,65.64,-30.45,40.49,1.1702958787055167,0.655649252561651,0.980443430232347
1.17,64.46,-30.1,40.245,65.49,-30.33,41.895,1.1702958787055167,0.655649252561651,1.0418459639596
1.18,64.46,-30.1,40.245,65.165,-29.835,39.735,0.5802110230898643,0.325058756835955,0.60895249220153
1.19,64.46,-30.1,40.245,65.805,-29.795,39.215,1.3848721898384815,0.775863978127292,1.16414773665417
1.20,64.46,-30.1,40.245,65.66,-30.65,41.56,1.1971179175971374,0.670676093327386,1.08675459525911
1.21,64.46,-30.1,40.245,65.355,-30.625,41.325,1.0630077231390345,0.595541889498709,0.827982326498767
1.22,64.46,-30.1,40.245,65.435,-29.87,39.6,0.8216093731144494,0.460300323167332,0.834265651337074
1.23,64.46,-30.1,40.245,64.965,-31.335,42.2,0.7947873342228289,0.445273482401596,0.816404373852587
1.24,64.46,-30.1,40.245,65.33,-30.355,40.725,0.8752534508976906,0.490354004698802,0.736452902436725
1.25,64.46,-30.1,40.245,65.075,-29.845,40.095,0.6874991786563465,0.385166119898896,0.517783248298365
1.26,64.46,-30.1,40.245,65.54,-30.795,41.145,1.2507619953803784,0.700729774298615,0.953461800583257
1.27,64.46,-30.1,40.245,65.365,-30.73,41.36,1.3044060731636198,0.730783455830086,0.843557321425956
1.28,64.46,-30.1,40.245,65.18,-30.735,42.0,1.0898297620306552,0.610568730264444,0.849713585767785
1.29,64.46,-30.1,40.245,65.365,-29.79,39.3,0.8484314120060701,0.475327163933067,0.817300970059799
1.30,64.46,-30.1,40.245,65.305,-30.41,41.13,1.0898297620306552,0.610568730264444,0.761631923594803
1.31,64.46,-30.1,40.245,65.185,-30.13,40.965,0.9557195675725523,0.535434526996009,0.659425344810803
1.32,64.46,-30.1,40.245,64.865,-30.45,41.135,1.0630077231390345,0.595541889498709,0.455998988428762
1.33,64.46,-30.1,40.245,64.685,-29.285,40.005,0.6338551008731055,0.355112438367425,0.38795805710591
1.34,64.46,-30.1,40.245,64.52,-30.335,41.31,0.8216093731144494,0.460300323167332,0.384536958181696
1.35,64.46,-30.1,40.245,64.785,-30.535,41.505,0.9557195675725523,0.535434526996009,0.514521736064687
1.36,64.46,-30.1,40.245,64.58,-29.505,39.985,0.9825416064641728,0.550461367201502,0.261821913062231
1.37,64.46,-30.1,40.245,64.645,-29.715,39.635,0.8484314120060701,0.475327163933067,0.270975514494835
1.38,64.46,-30.1,40.245,64.805,-29.65,39.72,1.0898297620306552,0.610568730264444,0.356511212429624
1.39,64.46,-30.1,40.245,64.42,-30.15,41.395,0.660677139764726,0.370139279133161,0.444303739156833
