Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000
1.1,60.257355,-34.008846,36.275349,60.149834,-32.760582,33.050049,1.02941,1.08647253795383,1.22104569165238
1.2,60.257355,-34.008846,36.275349,60.418064,-31.909567,35.437428,1.11176,1.17338738577977,0.824156456797475
1.3,60.257355,-34.008846,36.275349,60.462589,-34.174015,39.446148,1.13294,1.19574144135904,1.26423765252204
1.4,60.257355,-34.008846,36.275349,59.870667,-31.966873,37.225582,1.15294,1.21685008685411,1.16795258354093
1.5,60.257355,-34.008846,36.275349,60.816914,-36.710571,37.431435,1.09176,1.1522787402847,1.11281173877474
1.6,60.257355,-34.008846,36.275349,60.489277,-34.382278,40.049782,1.01176,1.06784415830443,1.46798103196811
1.7,60.257355,-34.008846,36.275349,60.212593,-31.359093,33.140129,1.25882,1.32859925610499,1.30907262321062
1.8,60.257355,-34.008846,36.275349,59.653114,-31.068605,34.513477,1.08118,1.14111226681781,1.27101508340611
1.9,60.257355,-34.008846,36.275349,59.942905,-34.424133,33.689507,1.16353,1.22802711464375,1.20310234944927
1.10,60.257355,-34.008846,36.275349,60.033012,-35.086063,34.703239,0.916471,0.967273072275464,0.968097395421532
1.11,59.17741,-19.078669,57.556789,59.361084,-20.680395,54.90921,1.14613,1.20966259306304,1.45162838637225
1.12,59.17741,-19.078669,57.556789,59.543865,-19.435497,52.918056,1.15759,1.22175784693171,1.61174747095767
1.13,59.17741,-19.078669,57.556789,59.287724,-18.096468,54.41658,1.08883,1.14918632371967,0.906081600685257
1.14,59.17741,-19.078669,57.556789,59.029823,-20.339642,60.82214,0.939828,0.991924803916877,0.932241906248116
1.15,59.17741,-19.078669,57.556789,59.085236,-21.093271,58.610378,1.13467,1.19756733919437,0.974381192187815
1.16,59.17741,-19.078669,57.556789,59.094463,-20.960516,56.160183,1.26074,1.33062568607252,1.26544314894015
1.17,59.17741,-19.078669,57.556789,59.122131,-20.983437,55.392879,1.28367,1.35482674813261,1.45844177581302
1.18,59.17741,-19.078669,57.556789,59.26936,-20.560944,55.506065,1.15759,1.22175784693171,1.22994167802261
1.19,59.17741,-19.078669,57.556789,59.31525,-19.784775,54.646328,0.931232,0.982852308083098,1.14824146079867
1.20,59.17741,-19.078669,57.556789,59.085236,-19.289694,61.68021,0.825215,0.870958544610573,1.20359814319265
1.21,59.17741,-19.078669,57.556789,59.076004,-18.828768,62.031918,1.04585,1.10382384455078,1.41323687638494
1.22,59.17741,-19.078669,57.556789,59.140568,-20.820892,59.262199,1.28367,1.35482674813261,0.839442504173231
1.23,59.17741,-19.078669,57.556789,58.965069,-19.250687,62.203011,1.31805,1.39111250973863,1.37438943125781
1.24,60.12291,-25.401049,38.368519,60.077988,-27.294632,41.169613,1.37883,1.45526168339814,1.07559737970405
