Pair,L1,a1,b1,L2,a2,b2,DV,DECIEDE2000,DV normF1,DV normF3,delta_L,delta_a,delta_b,L_med,a_med,b_med,ratio_V_E,abs_diff,norm_abs_diff
1.1,60.257355,-34.008846,36.275349,60.149834,-32.760582,33.050049,1.02941,1.22104569165238,1.08647253795383,0.993851383989802,0.10752099999999842,1.248263999999999,3.225299999999997,60.203594499999994,-33.384714,34.662699,0.8430560839733153,0.19163569165238004,0.18616070512839328
1.2,60.257355,-34.008846,36.275349,60.418064,-31.909567,35.437428,1.11176,0.824156456797475,1.17338738577977,1.07335679142859,0.1607090000000042,2.0992789999999992,0.8379210000000015,60.3377095,-32.9592065,35.856388499999994,1.3489671645249666,0.2876035432025251,0.2586921124557755
1.3,60.257355,-34.008846,36.275349,60.462589,-34.174015,39.446148,1.13294,1.26423765252204,1.19574144135904,1.09380517672978,0.20523400000000436,0.1651689999999988,3.1707990000000024,60.359972,-34.0914305,37.8607485,0.8961448006581216,0.13129765252203995,0.11589109079576045
1.4,60.257355,-34.008846,36.275349,59.870667,-31.966873,37.225582,1.15294,1.16795258354093,1.21685008685411,1.11311432243441,0.3866879999999995,2.0419729999999987,0.9502330000000043,60.064010999999994,-32.9878595,36.750465500000004,0.9871462380068874,0.015012583540929825,0.013021131652912287
1.5,60.257355,-34.008846,36.275349,60.816914,-36.710571,37.431435,1.09176,1.11281173877474,1.1522787402847,1.05404764572397,0.5595590000000001,2.7017250000000033,1.156086000000002,60.53713449999999,-35.359708499999996,36.853392,0.981082388851324,0.02105173877473998,0.019282386930696848
1.6,60.257355,-34.008846,36.275349,60.489277,-34.382278,40.049782,1.01176,1.46798103196811,1.06784415830443,0.976811062905473,0.2319220000000044,0.3734320000000011,3.774433000000002,60.373316,-34.195561999999995,38.1625655,0.6892187141916425,0.4562210319681099,0.4509182330959829
1.7,60.257355,-34.008846,36.275349,60.212593,-31.359093,33.140129,1.25882,1.30907262321062,1.32859925610499,1.21533693979468,0.044761999999998636,2.649752999999997,3.135219999999997,60.234973999999994,-32.6839695,34.707739000000004,0.9616120425397157,0.05025262321061996,0.03992042005266801
1.8,60.257355,-34.008846,36.275349,59.653114,-31.068605,34.513477,1.08118,1.27101508340611,1.14111226681781,1.04383310764622,0.6042409999999947,2.9402409999999968,1.7618719999999968,59.9552345,-32.5387255,35.394413,0.850642933561397,0.18983508340611,0.17558138629139328
1.9,60.257355,-34.008846,36.275349,59.942905,-34.424133,33.689507,1.16353,1.20310234944927,1.22802711464375,1.123338515085,0.3144499999999937,0.4152869999999993,2.5858419999999995,60.10013,-34.216489499999994,34.982428,0.9671080765202621,0.03957234944927013,0.03401059655983046
1.10,60.257355,-34.008846,36.275349,60.033012,-35.086063,34.703239,0.916471,0.968097395421532,0.967273072275464,0.884813603653081,0.22434299999999752,1.0772170000000045,1.572109999999995,60.1451835,-34.5474545,35.489294,0.9466723114715903,0.05162639542153191,0.0563317282982224
1.11,59.17741,-19.078669,57.556789,59.361084,-20.680395,54.90921,1.14613,1.45162838637225,1.20966259306304,1.10653955832198,0.18367399999999634,1.6017259999999993,2.6475790000000003,59.269247,-19.879532,56.232999500000005,0.7895478002291856,0.3054983863722498,0.26654776168994965
1.12,59.17741,-19.078669,57.556789,59.543865,-19.435497,52.918056,1.15759,1.61174747095767,1.22175784693171,1.11760369881073,0.36645499999999487,0.35682800000000015,4.638733000000002,59.360637499999996,-19.257083,55.2374225,0.7182204533530064,0.4541574709576701,0.3923301605623234
1.13,59.17741,-19.078669,57.556789,59.287724,-18.096468,54.41658,1.08883,0.906081600685257,1.14918632371967,1.05121885587824,0.11031399999999536,0.9822009999999999,3.1402089999999987,59.232567,-18.587568500000003,55.9866845,1.201690883000871,0.18274839931474296,0.16783923950194587
1.14,59.17741,-19.078669,57.556789,59.029823,-20.339642,60.82214,0.939828,0.932241906248116,0.991924803916877,0.907363789464225,0.14758700000000147,1.260973,3.2653509999999955,59.1036165,-19.7091555,59.1894645,1.0081374723587329,0.0075860937518840155,0.008071789459148085
1.15,59.17741,-19.078669,57.556789,59.085236,-21.093271,58.610378,1.13467,0.974381192187815,1.19756733919437,1.09547541783323,0.09217399999999998,2.014602,1.0535889999999952,59.131323,-20.085970000000003,58.0835835,1.1645031820531955,0.16028880781218502,0.14126469164684033
1.16,59.17741,-19.078669,57.556789,59.094463,-20.960516,56.160183,1.26074,1.26544314894015,1.33062568607252,1.21719061778233,0.08294700000000432,1.881846999999997,1.3966059999999985,59.1359365,-20.0195925,56.858486,0.9962833968950935,0.004703148940150115,0.0037304669768704474
1.17,59.17741,-19.078669,57.556789,59.122131,-20.983437,55.392879,1.28367,1.45844177581302,1.35482674813261,1.23932855333268,0.055278999999998746,1.9047679999999971,2.1639100000000013,59.1497705,-20.031053,56.474834,0.8801654069489627,0.17477177581301984,0.1361500819345079
1.18,59.17741,-19.078669,57.556789,59.26936,-20.560944,55.506065,1.15759,1.22994167802261,1.22175784693171,1.11760369881073,0.09194999999999709,1.4822749999999978,2.0507240000000024,59.223385,-19.8198065,56.531427,0.9411747075031188,0.07235167802261011,0.06250198944367878
1.19,59.17741,-19.078669,57.556789,59.31525,-19.784775,54.646328,0.931232,1.14824146079867,0.982852308083098,0.899064718640378,0.13783999999999708,0.7061059999999983,2.910461000000005,59.24633,-19.431722,56.101558499999996,0.8110071191309063,0.21700946079867,0.23303479752160067
1.20,59.17741,-19.078669,57.556789,59.085236,-19.289694,61.68021,0.825215,1.20359814319265,0.870958544610573,0.796709833632027,0.09217399999999998,0.21102499999999935,4.1234210000000004,59.131323,-19.1841815,59.6184995,0.6856233569166377,0.3783831431926499,0.4585267387700455
1.21,59.17741,-19.078669,57.556789,59.076004,-18.828768,62.031918,1.04585,1.41323687638494,1.10382384455078,1.009723501759,0.10140600000000433,0.24990100000000126,4.4751289999999955,59.126706999999996,-18.9537185,59.7943535,0.7400387130678655,0.36738687638494016,0.351280657870306
