Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000
1.1,44.55673242422589,-31.310796375143724,-32.7788731802628,46.852238466462346,-32.44581552654161,-32.922479525146706,2.12969,2.33357624601536,2.24542378704788
1.2,44.55673242422589,-31.310796375143724,-32.7788731802628,49.09338240098472,-32.89156552620898,-37.24085939074111,3.3096,3.62644513699761,4.70461419866853
1.3,44.55673242422589,-31.310796375143724,-32.7788731802628,43.577606529439024,-30.9138698095264,-32.72645114405872,0.664971,0.728632115420123,0.928604633220732
1.4,44.55673242422589,-31.310796375143724,-32.7788731802628,45.18024731698392,-30.445281105250437,-30.58929582177805,1.79593,1.96786367382406,1.03242463072446
1.5,44.55673242422589,-31.310796375143724,-32.7788731802628,39.18523465613319,-28.413694090102442,-35.944357832644094,2.92117,3.20082872275904,5.27779904743525
1.6,44.55673242422589,-31.310796375143724,-32.7788731802628,43.74133028740342,-30.46201827564876,-37.943968482284475,1.81564,1.98946061413414,2.30667779988554
1.7,44.55673242422589,-31.310796375143724,-32.7788731802628,46.530545021807754,-30.77395212099998,-35.01883695402863,2.46726,2.7034635692255,2.13745107532521
1.8,44.55673242422589,-31.310796375143724,-32.7788731802628,39.28074348904364,-27.535008968084,-35.714245547804325,2.90973,3.18829351235076,5.31131803252199
1.9,44.55673242422589,-31.310796375143724,-32.7788731802628,44.08341251879191,-28.15197103900202,-37.515572035663865,2.03242,2.22699408548969,2.70575801146398
1.10,44.55673242422589,-31.310796375143724,-32.7788731802628,53.78852591474555,-30.59395122334163,-31.41230451368049,4.21805,4.62186575722528,9.22640567375986
1.11,44.55673242422589,-31.310796375143724,-32.7788731802628,46.98367114562888,-33.135969953626585,-37.33825827730328,2.68277,2.93960545690811,2.857787329596
1.12,44.55673242422589,-31.310796375143724,-32.7788731802628,41.47874272682987,-29.0199466747908,-34.4979383731961,1.89256,2.07374456383738,3.15732455711985
1.13,44.55673242422589,-31.310796375143724,-32.7788731802628,46.81797578643379,-31.787152450414023,-33.695730158203595,1.25493,1.37507094385195,2.19217199733133
1.14,44.55673242422589,-31.310796375143724,-32.7788731802628,50.70124257294488,-31.401667670629074,-35.83435928903347,3.45645,3.78735384752701,6.16255369078465
1.15,44.55673242422589,-31.310796375143724,-32.7788731802628,41.37935565352716,-28.858637538573678,-38.752053708539414,2.02924,2.22350964763145,4.08980840368221
1.16,44.55673242422589,-31.310796375143724,-32.7788731802628,44.65730165844092,-31.471772960966206,-32.78887880917336,0.138589,0.151856842244187,0.116131391701609
1.17,44.55673242422589,-31.310796375143724,-32.7788731802628,44.437316063358544,-31.6921219499941,-33.59571612397727,0.418309,0.458355885548808,0.329139664005768
1.18,44.55673242422589,-31.310796375143724,-32.7788731802628,45.90284515880172,-30.979943716750086,-38.6178454161741,2.69676,2.95493479201404,2.6524358389437
1.19,44.55673242422589,-31.310796375143724,-32.7788731802628,46.8601399359612,-29.783546191118752,-36.57731526893082,2.7616,3.02598226079665,2.87595522128858
1.20,44.55673242422589,-31.310796375143724,-32.7788731802628,42.05408288733607,-29.020140528163207,-38.65707521343469,2.51558,2.75640949290804,3.6208200393378
1.21,44.55673242422589,-31.310796375143724,-32.7788731802628,36.357057839213994,-29.25565973133251,-27.604941216662414,4.15893,4.55708589364681,7.54579244027013
1.22,44.55673242422589,-31.310796375143724,-32.7788731802628,38.70960991641255,-27.202417393598687,-37.02706773631618,2.86459,3.13883202652647,5.98582259621383
1.23,44.55673242422589,-31.310796375143724,-32.7788731802628,42.6121824276193,-33.18711528315088,-36.95346918005211,1.51875,1.66414779786534,2.36529226304935
1.24,44.55673242422589,-31.310796375143724,-32.7788731802628,43.72820705414369,-34.05937870273992,-36.159450671030434,1.84933,2.02637593219839,1.59137669926146
1.25,44.55673242422589,-31.310796375143724,-32.7788731802628,45.00599530431713,-28.8183633743509,-38.09453152313851,2.18881,2.39835610959383,2.68723908661445
1.26,44.55673242422589,-31.310796375143724,-32.7788731802628,45.02975207960064,-31.30475771651747,-33.686053850954536,1.15639,1.26709719965333,0.5798394324044
1.27,44.55673242422589,-31.310796375143724,-32.7788731802628,48.97898254763628,-28.745432531098846,-29.3596681770389,3.75016,4.10918222593757,4.541204338536
1.28,44.55673242422589,-31.310796375143724,-32.7788731802628,41.00075000552075,-29.807941011050943,-30.704434498569732,2.75652,3.02041592610486,3.3691002588791
1.29,44.55673242422589,-31.310796375143724,-32.7788731802628,47.82108394072845,-32.32361774322337,-35.42448078280256,2.90655,3.18480907449251,3.29653748274718
1.30,44.55673242422589,-31.310796375143724,-32.7788731802628,39.575417112484864,-27.71165258646277,-38.41746475919895,2.60585,2.85532150720487,5.47809500761984
2.1,47.85810684183837,-38.116411435822506,-21.618119990958462,49.01716057201786,-34.02662234650877,-26.304346813595835,4.92065,5.39172929156614,3.55604832375764
2.2,47.85810684183837,-38.116411435822506,-21.618119990958462,50.30004892364444,-40.43991274857017,-22.519747891082798,3.83781,4.20522341407445,2.57571965193214
2.3,47.85810684183837,-38.116411435822506,-21.618119990958462,48.0489228533004,-45.08954201939555,-18.538056668729432,4.89382,5.36233071680616,3.63506246619885
2.4,47.85810684183837,-38.116411435822506,-21.618119990958462,53.40720719554146,-47.7445773773954,-15.812124726191001,6.82614,7.47964171122337,7.87084644707871
2.5,47.85810684183837,-38.116411435822506,-21.618119990958462,49.63408629097188,-47.44434583708668,-12.549210442446967,7.2042,7.8938953516915,7.26215297345387
2.6,47.85810684183837,-38.116411435822506,-21.618119990958462,48.38578959377395,-30.93947725080953,-31.00077127312275,5.87631,6.43887956943148,6.24819363278542
2.7,47.85810684183837,-38.116411435822506,-21.618119990958462,48.023546388014864,-38.74322799768565,-24.49476529998522,3.56593,3.90731493454614,1.35788111236025
2.8,47.85810684183837,-38.116411435822506,-21.618119990958462,46.644773298806875,-36.511392282941564,-27.13031610617285,5.24854,5.75100989827697,3.23450362899202
2.9,47.85810684183837,-38.116411435822506,-21.618119990958462,45.17051542273215,-34.07799292816002,-29.50439596534098,5.81564,6.37240131633091,5.35240006732857
2.10,47.85810684183837,-38.116411435822506,-21.618119990958462,43.244467321039146,-31.786909448639268,-31.67960087687096,6.49708,7.11907909435716,7.61795430653709
2.11,47.85810684183837,-38.116411435822506,-21.618119990958462,43.186598317710555,-33.93667809538775,-30.6328095022399,5.94749,6.51687399922708,6.8326781206199
2.12,47.85810684183837,-38.116411435822506,-21.618119990958462,40.880393334055356,-37.67842291094212,-24.978351979439715,5.45158,5.97348796832048,6.77435795881812
2.13,47.85810684183837,-38.116411435822506,-21.618119990958462,48.9259515445474,-34.882291697562074,-27.318936637084047,5.58343,6.11796065121664,3.68233274009976
2.14,47.85810684183837,-38.116411435822506,-21.618119990958462,52.597480889058815,-33.751485958863846,-27.481866602821615,6.4049,7.01807422587503,6.16260837501208
2.15,47.85810684183837,-38.116411435822506,-21.618119990958462,49.96097620859207,-34.47123132587179,-27.454318391382614,5.91715,6.48362939400091,4.25701386504166
2.16,47.85810684183837,-38.116411435822506,-21.618119990958462,46.84433500979726,-39.81798719021662,-22.342256266846295,1.45508,1.59438233923812,1.17195838831308
2.17,47.85810684183837,-38.116411435822506,-21.618119990958462,45.540919798106984,-32.03115402039458,-19.562053277704372,4.14236,4.53892956178796,3.25674915280664
2.18,47.85810684183837,-38.116411435822506,-21.618119990958462,48.00323072232695,-30.85498401666939,-20.307443261592596,4.31272,4.72559900629452,2.89279741842787
2.19,47.85810684183837,-38.116411435822506,-21.618119990958462,45.96253020041912,-29.52518840132129,-23.64772947797036,5.31389,5.82261619199911,4.58737987098548
2.20,47.85810684183837,-38.116411435822506,-21.618119990958462,44.521241082858,-32.88734603156435,-20.35333730195017,3.46441,3.79607589952438,3.79848353799726
2.21,47.85810684183837,-38.116411435822506,-21.618119990958462,42.550020931396986,-31.91696985167708,-22.345065717985978,4.84597,5.30989978865613,5.76185972611514
2.22,47.85810684183837,-38.116411435822506,-21.618119990958462,47.6186142790859,-41.049723935400905,-20.775894823195195,3.15519,3.45725266854106,1.41247880228429
