Pair,L1,a1,b1,L2,a2,b2,DV,DECIEDE2000,DV normF1,DV normF3,delta_L,delta_a,delta_b,L_med,a_med,b_med,ratio_V_E,abs_diff,norm_abs_diff
1.1,36.39,4.7,-31.36,36.19,1.78,-27.55,2.7795734903218636,1.41102800881681,2.01829146030352,1.8967547029896,0.20000000000000284,2.92,3.8099999999999987,36.29,3.24,-29.455,1.9698924975151473,1.3685454815050537,0.4923580850723337
1.2,36.39,4.7,-31.36,37.75,5.31,-31.76,2.101860277234701,1.19389374797881,1.52619337573992,1.43428960585848,1.3599999999999994,0.6099999999999994,0.40000000000000213,37.07,5.005,-31.560000000000002,1.7605086541683583,0.9079665292558907,0.43198234376381517
1.3,36.39,4.7,-31.36,35.89,6.72,-34.95,2.210645394244042,1.02774172332088,1.60518393793916,1.50852354247766,0.5,2.0199999999999996,3.5900000000000034,36.14,5.71,-33.155,2.1509736755163957,1.1829036709231617,0.5350942640859758
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,0.94006822513333,2.60766778979199,2.45064017829152,0.20000000000000284,0.6600000000000001,0.8499999999999979,36.29,5.03,-30.935000000000002,3.820209382741706,2.6511892327585693,0.738234243327296
1.5,36.39,4.7,-31.36,36.79,6.06,-27.5,4.517485270468673,3.08687181224054,3.28021618255106,3.08268929113968,0.3999999999999986,1.3599999999999994,3.8599999999999994,36.59,5.38,-29.43,1.4634508796548638,1.430613458228133,0.3166835910375925
1.6,36.39,4.7,-31.36,36.5,4.25,-30.87,1.107244319014484,0.219908907456849,0.80398728853443,0.755573067946395,0.10999999999999943,0.4500000000000002,0.48999999999999844,36.445,4.475,-31.115000000000002,5.035013482556347,0.8873354115576351,0.8013908001316526
1.7,36.39,4.7,-31.36,35.84,4.17,-34.62,3.8329777621089605,2.00961275600322,2.78318465491549,2.61558783125682,0.5499999999999972,0.5300000000000002,3.259999999999998,36.115,4.4350000000000005,-32.989999999999995,1.9073215716568117,1.8233650061057403,0.4757045615174124
1.8,36.39,4.7,-31.36,36.74,3.54,-31.59,2.9138373359660172,1.05195351055683,2.11578252315334,1.98837508369124,0.3500000000000014,1.1600000000000001,0.23000000000000043,36.565,4.12,-31.475,2.7699297582587152,1.8618838254091872,0.638980015043613
1.9,36.39,4.7,-31.36,36.5,4.51,-30.44,1.3926903584217065,0.368563249234066,1.01125408862582,0.95035874958815,0.10999999999999943,0.1900000000000004,0.9199999999999982,36.445,4.605,-30.9,3.7787010982164957,1.0241271091876405,0.7353587983569396
1.10,36.39,4.7,-31.36,37.01,3.54,-29.08,1.4874000502671247,0.840007967038572,1.08002426623015,1.01498774909688,0.6199999999999974,1.1600000000000001,2.280000000000001,36.7,4.12,-30.22,1.7706975491437547,0.6473920832285528,0.4352508141148951
1.11,36.39,4.7,-31.36,36.33,4.97,-27.67,3.3406150598831137,2.15280899128402,2.42567245371135,2.27960417262898,0.060000000000002274,0.2699999999999996,3.6899999999999977,36.36,4.835,-29.515,1.5517470764272925,1.1878060685990937,0.3555650821633694
1.12,36.39,4.7,-31.36,36.52,2.59,-32.0,3.621859216951307,1.92698677574959,2.62988820205386,2.4715225296709,0.13000000000000256,2.1100000000000003,0.6400000000000006,36.455,3.645,-31.68,1.8795454440328854,1.6948724412017169,0.46795646633676063
1.13,36.39,4.7,-31.36,34.21,4.56,-25.28,5.25428035358298,3.68108080564778,3.81521453081592,3.58547129915078,2.1799999999999997,0.14000000000000057,6.079999999999998,35.3,4.63,-28.32,1.4273743581216987,1.5731995479352001,0.2994129436894239
1.14,36.39,4.7,-31.36,36.93,2.38,-29.05,2.3108392943070553,1.21442353931842,1.67793628410739,1.57689491374005,0.5399999999999991,2.3200000000000003,2.3099999999999987,36.66,3.54,-30.205,1.9028281465139885,1.0964157549886353,0.4744664664545389
1.15,36.39,4.7,-31.36,35.65,6.67,-28.06,4.545143511886962,3.29076375543387,3.30029926142501,3.10156301431292,0.740000000000002,1.9699999999999998,3.3000000000000007,36.019999999999996,5.6850000000000005,-29.71,1.3811819529738703,1.2543797564530919,0.2759824311149949
1.16,36.39,4.7,-31.36,37.31,6.96,-31.44,3.486190759687268,1.89514370567677,2.5313772293522,2.37894365568614,0.9200000000000017,2.26,0.08000000000000185,36.85,5.83,-31.4,1.8395390003433982,1.591047054010498,0.4563855403302253
1.17,36.39,4.7,-31.36,36.51,5.52,-31.23,1.3378726026321768,0.708936119786286,0.971450065746934,0.912951631201947,0.11999999999999744,0.8199999999999994,0.129999999999999,36.45,5.109999999999999,-31.295,1.8871553633750993,0.6289364828458908,0.4701019223642053
1.18,36.39,4.7,-31.36,36.44,6.82,-29.51,3.9126766160743838,2.57180409747516,2.84105523002454,2.6699735766567,0.04999999999999716,2.12,1.8499999999999979,36.415,5.76,-30.435000000000002,1.5213742828990107,1.3408725185992236,0.34269955067276453
1.19,36.39,4.7,-31.36,36.69,5.61,-30.29,1.9997785769130914,1.25436487105941,1.45207026868608,1.36463001770196,0.29999999999999716,0.9100000000000001,1.0700000000000003,36.54,5.155,-30.825,1.5942558831625002,0.7454137058536814,0.37274812026018034
1.20,36.39,4.7,-31.36,36.61,6.75,-29.25,3.7609536356030753,2.65957081641735,2.73088681894727,2.56643924777425,0.21999999999999886,2.05,2.1099999999999994,36.5,5.725,-30.305,1.4141205080807937,1.1013828191857251,0.29284668879367076
1.21,36.39,4.7,-31.36,36.3,3.6,-32.04,2.4495398402780366,1.16339796276615,1.77864890370114,1.6715428566274,0.09000000000000341,1.1,0.6799999999999997,36.345,4.15,-31.7,2.1055046652723974,1.2861418775118867,0.5250544840458067
1.22,36.39,4.7,-31.36,36.28,3.52,-29.45,1.2988266992050448,0.569863292956273,0.943098228716343,0.88630707500981,0.10999999999999943,1.1800000000000002,1.9100000000000001,36.335,4.11,-30.405,2.279189961837947,0.7289634062487718,0.5612476292131128
1.23,36.39,4.7,-31.36,35.75,4.51,-30.75,1.069015971657292,0.571453107336841,0.776229092333034,0.729486404931139,0.6400000000000006,0.1900000000000004,0.6099999999999994,36.07,4.605,-31.055,1.870697623412286,0.49756286432045105,0.46544006548717964
1.24,36.39,4.7,-31.36,35.63,4.65,-33.18,1.986853343350844,1.13791793799658,1.44268505563146,1.35580996006904,0.759999999999998,0.04999999999999982,1.8200000000000003,36.010000000000005,4.675000000000001,-32.269999999999996,1.7460427287954157,0.8489354053542639,0.4272763300663406
1.25,36.39,4.7,-31.36,35.63,3.34,-32.17,3.0076959455313816,1.55329356912338,2.18393471690554,2.05242331287965,0.759999999999998,1.3600000000000003,0.8100000000000023,36.010000000000005,4.02,-31.765,1.9363345109916836,1.4544023764080016,0.4835603073792375
1.26,36.39,4.7,-31.36,35.47,5.64,-30.76,1.856347617807345,1.2741719039284,1.34792282277961,1.26675408565112,0.9200000000000017,0.9399999999999995,0.5999999999999979,35.93,5.17,-31.060000000000002,1.4569051559111714,0.582175713878945,0.3136135215089605
1.27,36.39,4.7,-31.36,33.71,4.42,-33.11,3.7403251375786724,2.44964785602333,2.71590814631923,2.55236255552708,2.6799999999999997,0.28000000000000025,1.75,35.05,4.5600000000000005,-32.235,1.5268827831130383,1.2906772815553422,0.3450708785295069
1.28,36.39,4.7,-31.36,34.1,5.73,-30.67,3.193593237373364,2.20307708220486,2.31891762571104,2.17927786889187,2.289999999999999,1.0300000000000002,0.6899999999999977,35.245000000000005,5.215,-31.015,1.4496057635566615,0.9905161551685038,0.3101572683918309
1.29,36.39,4.7,-31.36,35.03,4.52,-30.93,1.4253874014968224,1.13616345999981,1.03499591912662,0.972670902984067,1.3599999999999994,0.1800000000000006,0.4299999999999997,35.71,4.609999999999999,-31.145,1.2545619098175351,0.28922394149701236,0.20290900634479062
1.30,36.39,4.7,-31.36,34.52,4.49,-29.65,1.8140463659497286,1.72066621704972,1.31720722703123,1.23788811072295,1.8699999999999974,0.20999999999999996,1.7100000000000009,35.455,4.595000000000001,-30.505,1.0542697630257714,0.09338014890000856,0.051476164336981545
1.31,36.39,4.7,-31.36,34.56,3.68,-32.36,3.3734249917027483,1.96061779283691,2.44949625466749,2.30199336041252,1.8299999999999983,1.02,1.0,35.475,4.19,-31.86,1.7205928673640098,1.4128071988658384,0.41880498363590823
1.32,36.39,4.7,-31.36,34.93,5.56,-30.91,1.5838528101336264,1.49908676484375,1.15006011256811,1.08080620174961,1.4600000000000009,0.8599999999999994,0.4499999999999993,35.66,5.13,-31.134999999999998,1.0565451221511961,0.08476604528987641,0.05351889057746848
1.33,36.39,4.7,-31.36,37.81,3.7,-30.47,2.3868556296057406,1.29470976639073,1.7331329257304,1.62876774362951,1.4200000000000017,1.0,0.8900000000000006,37.1,4.2,-30.915,1.8435449316305434,1.0921458632150105,0.4575667875387351
1.34,36.39,4.7,-31.36,37.86,4.31,-27.88,3.688913040808172,2.01221298761637,2.67857702458249,2.51727942600158,1.4699999999999989,0.39000000000000057,3.4800000000000004,37.125,4.505,-29.619999999999997,1.8332617181567483,1.676700053191802,0.4545241468662932
1.35,36.39,4.7,-31.36,38.03,4.69,-30.44,2.467206968683344,1.46527602764214,1.79147728032693,1.68359873863219,1.6400000000000006,0.009999999999999787,0.9199999999999982,37.21,4.695,-30.9,1.6837830691666238,1.0019309410412043,0.40609926664150026
1.36,36.39,4.7,-31.36,37.41,3.94,-32.5,2.6687518038860354,1.40843337288946,1.93782211373832,1.82113103091546,1.019999999999996,0.7600000000000002,1.1400000000000006,36.9,4.32,-31.93,1.8948370958550507,1.2603184309965754,0.4722501465625782
1.37,36.39,4.7,-31.36,37.08,5.25,-32.08,1.4059032724821652,0.624174715455716,1.0208481905943,0.959375117336605,0.6899999999999977,0.5499999999999998,0.7199999999999989,36.735,4.975,-31.72,2.2524194515045073,0.7817285570264492,0.5560329588608542
1.38,36.39,4.7,-31.36,37.85,6.28,-30.31,3.422378422885075,2.13371906187514,2.48504210085408,2.33539871947598,1.4600000000000009,1.58,1.0500000000000007,37.120000000000005,5.49,-30.835,1.6039498743913807,1.2886593610099353,0.3765391202843818
1.39,36.39,4.7,-31.36,37.25,6.09,-32.47,2.2774011348981706,0.984729303909425,1.65365631777415,1.55407702978384,0.8599999999999994,1.3899999999999997,1.1099999999999994,36.82,5.395,-31.915,2.312717945474005,1.2926718309887457,0.5676083192427743
1.40,36.39,4.7,-31.36,34.82,4.71,-32.35,2.13974399380594,1.39231307207814,1.55370133074839,1.46014109661596,1.5700000000000003,0.009999999999999787,0.990000000000002,35.605000000000004,4.705,-31.855,1.536826763448663,0.7474309217277999,0.3493085731480633
1.41,36.39,4.7,-31.36,37.66,4.25,-33.22,2.966093587369883,1.63627663488241,2.15372659821386,2.02403425593527,1.269999999999996,0.4500000000000002,1.8599999999999994,37.025,4.475,-32.29,1.8127091240720001,1.3298169524874728,0.448339512179155
1.42,36.39,4.7,-31.36,36.75,4.57,-28.23,2.8617930244255945,1.59240483816532,2.0779923402908,1.95286053661953,0.35999999999999943,0.1299999999999999,3.129999999999999,36.57,4.635,-29.795,1.797151675277275,1.2693881862602745,0.44356393875531797
1.43,36.39,4.7,-31.36,36.63,4.51,-32.0,1.4600766753454384,0.498816860166341,1.06018433948327,0.99634253600241,0.240000000000002,0.1900000000000004,0.6400000000000006,36.510000000000005,4.605,-31.68,2.927079633858938,0.9612598151790974,0.658362557769996
1.44,36.39,4.7,-31.36,36.14,4.55,-31.14,0.8783499038984887,0.219035091864491,0.637783500518856,0.599377680524095,0.25,0.15000000000000036,0.21999999999999886,36.265,4.625,-31.25,4.010087572779453,0.6593148120339977,0.7506288875959918
1.45,36.39,4.7,-31.36,36.85,5.0,-27.61,3.343834272926287,2.24083131824882,2.42800997424469,2.28180093318222,0.46000000000000085,0.2999999999999998,3.75,36.620000000000005,4.85,-29.485,1.4922293544376288,1.103002954677467,0.3298617288775903
1.46,36.39,4.7,-31.36,36.46,4.16,-32.06,1.6823125304459785,0.746113613061286,1.22155324371747,1.14799418495527,0.07000000000000028,0.54,0.7000000000000028,36.425,4.43,-31.71,2.2547672348299934,0.9361989173846925,0.5564952408575429
1.47,36.39,4.7,-31.36,36.51,4.77,-31.48,1.3941614818643162,0.105930848546823,1.01232229459948,0.951362630714416,0.11999999999999744,0.0699999999999994,0.120000000000001,36.45,4.734999999999999,-31.42,13.161052590709907,1.288230633317493,0.9240182354420039
1.48,36.39,4.7,-31.36,36.5,5.04,-32.23,1.0308549206501076,0.276292756863849,0.748519760801919,0.70344566407083,0.10999999999999943,0.33999999999999986,0.8699999999999974,36.445,4.87,-31.794999999999998,3.731024036316182,0.7545621637862586,0.731977068682388
