Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000,GradoDE00
1.723,65.826447,-1.626604,5.562673,65.787575,-0.392725,1.412608,4.44,4.68611929990481,3.8801300450876,0.7496765994209834
3.486,66.627518,-1.538718,3.45059,65.99086,0.428235,0.125481,1.71328,1.80825100768939,4.17660785982174,0.7496765994209834
1.731,40.361057,-22.629972,-20.694771,41.008755,-26.057306,-23.354427,2.0,2.11086454950667,1.86667094806585,0.7333282921267666
3.246,39.193775,-23.298607,-22.621935,41.047153,-26.06106,-24.810497,4.00997,4.23225175879263,2.15578470208678,0.7333282921267666
1.1122,65.592659,30.518431,37.095493,65.981567,26.952259,36.634029,1.27563,1.3463410726436,1.95703230787014,0.9023970259314521
1.1123,65.592659,30.518431,37.095493,65.810898,27.048811,36.836468,2.96128,3.12543048658156,1.93982118211022,0.9023970259314521
3.134,47.858109,-38.116409,-21.61812,46.844337,-39.818005,-22.342255,1.45508,1.53573839434808,1.17196206478861,0.7633526830471006
3.140,47.858109,-38.116409,-21.61812,47.618614,-41.049709,-20.775898,3.15519,3.33008935897898,1.41247363190091,0.7633526830471006
3.210,31.967999,8.018895,30.25559,30.460339,7.175619,29.245165,0.913541,0.964180655710436,1.36923806334402,0.7280990057205101
3.211,31.967999,8.018895,30.25559,30.037085,6.90895,29.704403,2.50604,2.64495549782285,1.73466765938698,0.7280990057205101
3.239,39.193775,-23.298607,-22.621935,34.923092,-32.998077,-22.503328,4.12514,4.35380589387597,5.82776293583914,0.8339850511002966
3.248,39.193775,-23.298607,-22.621935,34.223312,-32.505058,-21.907965,5.77519,6.09532191883271,6.13681401899229,0.8339850511002966
3.245,39.193775,-23.298607,-22.621935,39.381012,-22.822107,-23.428616,2.20266,2.32475845430818,0.559631086417409,0.7010433326660699
3.264,39.193775,-23.298607,-22.621935,39.121948,-21.395094,-22.684248,3.89812,4.11420165886147,1.0065735538494,0.7010433326660699
3.454,40.730438,-44.325455,36.707211,40.102718,-43.61573,36.740635,2.0,2.11086454950667,0.61508236938751,0.8561032446454354
3.463,40.730438,-44.325455,36.707211,40.306953,-43.700146,36.567772,0.359186,0.379096497039551,0.429174346657901,0.8561032446454354
3.457,40.730438,-44.325455,36.707211,40.082874,-43.851112,36.143818,2.25683,2.38193122063157,0.610682611943427,1
3.463,40.730438,-44.325455,36.707211,40.306953,-43.700146,36.567772,0.359186,0.379096497039551,0.429174346657901,1
3.472,66.627518,-1.538718,3.45059,66.194679,0.258635,0.387968,3.5458,3.74235175982038,3.77598480697116,0.8666270016882065
3.486,66.627518,-1.538718,3.45059,65.99086,0.428235,0.125481,1.71328,1.80825100768939,4.17660785982174,0.8666270016882065
3.475,66.627518,-1.538718,3.45059,67.064919,-1.275448,3.165702,2.16585,2.28590799227451,0.547559195488068,0.8507336871455998
3.482,66.627518,-1.538718,3.45059,66.119904,-1.590144,3.606747,0.528997,0.55832050704769,0.435761428852314,0.8507336871455998
4.28,86.750015,-6.710108,46.240025,87.279526,-6.291,49.857285,0.9314,0.983029620705256,1.30644491615119,0.8676832311818491
7.220,86.79045710747162,-7.375172782476291,50.369302143230854,88.5001508082956,-6.999565974377453,46.934574304835365,2.731906,2.88334176399228,1.53692296325193,0.8676832311818491
4.29,86.979988,-6.069949,47.359993,87.278404,-6.311615,49.833576,0.549526,0.579987476216101,0.800176378104161,0.7536878517724298
7.197,86.72147020278406,-6.952600082149929,49.03401581095122,87.91079767346552,-6.9130888310366405,46.25464083798387,2.227753,2.35124241637857,1.18312839848625,0.7536878517724298
4.92,60.050018,-0.280042,2.2e-05,61.791084,-0.290317,-0.077282,1.294646,1.36641117278031,1.51390497518088,0.7345127467388248
7.416,63.78670046345174,0.03242080829907179,0.10035764877245335,61.68871986942695,0.16649838872390132,-0.006524398489138328,2.999064,3.16530893965084,1.7919385620168,0.7345127467388248
4.102,60.36002,-0.310067,-0.0499,62.078907,-0.283174,-0.077197,1.378472,1.45488383864378,1.48727789711999,0.7320338938863098
7.416,63.78670046345174,0.03242080829907179,0.10035764877245335,61.68871986942695,0.16649838872390132,-0.006524398489138328,2.999064,3.16530893965084,1.7919385620168,0.7320338938863098
4.112,85.609985,-6.349862,45.950016,87.36837,-6.851581,46.277355,0.83826,0.884726658634731,1.18610243356276,0.7854325583903465
7.388,86.66226473133806,-8.655376198553666,45.93090575607588,85.15429599479369,-6.764933318208211,45.60107876864381,2.774996,2.92882034071141,1.5740700765611,0.7854325583903465
5.43,85.609985,-6.349862,45.950016,87.36837,-6.851581,46.277355,0.87263,0.921001865918003,1.18610243356276,0.7854325583903465
7.388,86.66226473133806,-8.655376198553666,45.93090575607588,85.15429599479369,-6.764933318208211,45.60107876864381,2.774996,2.92882034071141,1.5740700765611,0.7854325583903465
7.177,62.625639713294134,-0.23944473055187432,1.0386475053027588,62.659290750877176,0.18301176067281322,-0.4636579538232155,1.439206,1.51898446241865,1.60861596279644,0.724258142370977
7.416,63.78670046345174,0.03242080829907179,0.10035764877245335,61.68871986942695,0.16649838872390132,-0.006524398489138328,2.999064,3.16530893965084,1.7919385620168,0.724258142370977
7.178,62.625639713294134,-0.23944473055187432,1.0386475053027588,62.768458263626584,0.772576138392489,0.014121422550505969,1.370262,1.44621873966805,1.81597356395443,0.8127687874392342
7.416,63.78670046345174,0.03242080829907179,0.10035764877245335,61.68871986942695,0.16649838872390132,-0.006524398489138328,2.999064,3.16530893965084,1.7919385620168,0.8127687874392342
