Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000,GradoDE
1.445,34.782253,27.245667,-21.393272,35.003223,27.807022,-19.951809,1.42062,1.37154792854508,0.981716430404511,0.1588700705230565
1.893,35.713337,25.674494,-18.087009,35.713337,28.417604,-22.801613,1.84,1.77644140482532,2.42564380691821,0.1588700705230565
1.506,45.151043,-2.811008,-2.501926,45.33139,-3.092339,-3.071134,0.684433,0.660790826102615,0.60802394550191,0.3455970165206546
1.515,45.151043,-2.811008,-2.501926,42.89854,-3.337323,-2.757914,1.21445,1.17249960004898,2.20695562272957,0.3455970165206546
1.506,45.151043,-2.811008,-2.501926,45.33139,-3.092339,-3.071134,0.684433,0.660790826102615,0.60802394550191,0.3474200930941914
1.516,45.151043,-2.811008,-2.501926,42.642456,-2.615103,-3.107763,1.26202,1.21842640310742,2.4149467348562,0.3474200930941914
1.506,45.151043,-2.811008,-2.501926,45.33139,-3.092339,-3.071134,0.684433,0.660790826102615,0.60802394550191,0.28950524761824625
1.517,45.151043,-2.811008,-2.501926,42.793365,-2.900251,-1.820894,1.24857,1.20544100262106,2.28828077157615,0.28950524761824625
1.506,45.151043,-2.811008,-2.501926,45.33139,-3.092339,-3.071134,0.684433,0.660790826102615,0.60802394550191,0.15237476826875393
1.521,45.151043,-2.811008,-2.501926,46.803467,-3.812742,-2.843082,1.31258,1.26723992344871,2.01584819844143,0.15237476826875393
1.507,45.151043,-2.811008,-2.501926,45.178856,-3.125749,-2.870928,0.623786,0.602238738125201,0.487101933161916,0.38118112193393733
1.515,45.151043,-2.811008,-2.501926,42.89854,-3.337323,-2.757914,1.21445,1.17249960004898,2.20695562272957,0.38118112193393733
1.507,45.151043,-2.811008,-2.501926,45.178856,-3.125749,-2.870928,0.623786,0.602238738125201,0.487101933161916,0.31012243576330245
1.516,45.151043,-2.811008,-2.501926,42.642456,-2.615103,-3.107763,1.26202,1.21842640310742,2.4149467348562,0.31012243576330245
1.507,45.151043,-2.811008,-2.501926,45.178856,-3.125749,-2.870928,0.623786,0.602238738125201,0.487101933161916,0.3051931777132346
1.517,45.151043,-2.811008,-2.501926,42.793365,-2.900251,-1.820894,1.24857,1.20544100262106,2.28828077157615,0.3051931777132346
1.507,45.151043,-2.811008,-2.501926,45.178856,-3.125749,-2.870928,0.623786,0.602238738125201,0.487101933161916,0.18070643966649952
1.521,45.151043,-2.811008,-2.501926,46.803467,-3.812742,-2.843082,1.31258,1.26723992344871,2.01584819844143,0.18070643966649952
1.508,45.151043,-2.811008,-2.501926,45.386665,-3.26021,-2.6558,0.537111,0.518557727927791,0.608217568028734,0.18317963092917106
1.515,45.151043,-2.811008,-2.501926,42.89854,-3.337323,-2.757914,1.21445,1.17249960004898,2.20695562272957,0.18317963092917106
1.508,45.151043,-2.811008,-2.501926,45.386665,-3.26021,-2.6558,0.537111,0.518557727927791,0.608217568028734,0.1505900169655546
1.517,45.151043,-2.811008,-2.501926,42.793365,-2.900251,-1.820894,1.24857,1.20544100262106,2.28828077157615,0.1505900169655546
1.509,45.151043,-2.811008,-2.501926,45.164951,-3.313056,-2.403256,0.654296,0.631694839897603,0.643457685489093,0.31174243321748557
1.515,45.151043,-2.811008,-2.501926,42.89854,-3.337323,-2.757914,1.21445,1.17249960004898,2.20695562272957,0.31174243321748557
1.509,45.151043,-2.811008,-2.501926,45.164951,-3.313056,-2.403256,0.654296,0.631694839897603,0.643457685489093,0.3025601867259097
1.516,45.151043,-2.811008,-2.501926,42.642456,-2.615103,-3.107763,1.26202,1.21842640310742,2.4149467348562,0.3025601867259097
1.509,45.151043,-2.811008,-2.501926,45.164951,-3.313056,-2.403256,0.654296,0.631694839897603,0.643457685489093,0.30647407486584965
1.517,45.151043,-2.811008,-2.501926,42.793365,-2.900251,-1.820894,1.24857,1.20544100262106,2.28828077157615,0.30647407486584965
1.512,45.151043,-2.811008,-2.501926,45.317554,-3.378679,-2.751668,0.669988,0.646844795617451,0.7376305988799849,0.22036307877016367
1.515,45.151043,-2.811008,-2.501926,42.89854,-3.337323,-2.757914,1.21445,1.17249960004898,2.20695562272957,0.22036307877016367
1.512,45.151043,-2.811008,-2.501926,45.317554,-3.378679,-2.751668,0.669988,0.646844795617451,0.7376305988799849,0.2668850015204692
1.516,45.151043,-2.811008,-2.501926,42.642456,-2.615103,-3.107763,1.26202,1.21842640310742,2.4149467348562,0.2668850015204692
1.512,45.151043,-2.811008,-2.501926,45.317554,-3.378679,-2.751668,0.669988,0.646844795617451,0.7376305988799849,0.22279988107562065
1.517,45.151043,-2.811008,-2.501926,42.793365,-2.900251,-1.820894,1.24857,1.20544100262106,2.28828077157615,0.22279988107562065
1.514,45.151043,-2.811008,-2.501926,45.081394,-2.931315,-1.923165,0.577086,0.557151882904906,0.561391111965746,0.26473509064471434
1.515,45.151043,-2.811008,-2.501926,42.89854,-3.337323,-2.757914,1.21445,1.17249960004898,2.20695562272957,0.26473509064471434
1.514,45.151043,-2.811008,-2.501926,45.081394,-2.931315,-1.923165,0.577086,0.557151882904906,0.561391111965746,0.21481767578219563
1.516,45.151043,-2.811008,-2.501926,42.642456,-2.615103,-3.107763,1.26202,1.21842640310742,2.4149467348562,0.21481767578219563
1.514,45.151043,-2.811008,-2.501926,45.081394,-2.931315,-1.923165,0.577086,0.557151882904906,0.561391111965746,0.2604268002837413
1.517,45.151043,-2.811008,-2.501926,42.793365,-2.900251,-1.820894,1.24857,1.20544100262106,2.28828077157615,0.2604268002837413
1.515,45.151043,-2.811008,-2.501926,42.89854,-3.337323,-2.757914,1.21445,1.17249960004898,2.20695562272957,0.2245390748216697
1.518,45.151043,-2.811008,-2.501926,45.178856,-3.391616,-2.987074,0.792902,0.765513012374353,0.802192716868562,0.2245390748216697
1.515,45.151043,-2.811008,-2.501926,42.89854,-3.337323,-2.757914,1.21445,1.17249960004898,2.20695562272957,0.1970145926037634
1.519,45.151043,-2.811008,-2.501926,44.94162,-2.64182,-3.352035,0.760274,0.734012072071831,0.821963047131162,0.1970145926037634
1.516,45.151043,-2.811008,-2.501926,42.642456,-2.615103,-3.107763,1.26202,1.21842640310742,2.4149467348562,0.3682807732516916
1.518,45.151043,-2.811008,-2.501926,45.178856,-3.391616,-2.987074,0.792902,0.765513012374353,0.802192716868562,0.3682807732516916
1.516,45.151043,-2.811008,-2.501926,42.642456,-2.615103,-3.107763,1.26202,1.21842640310742,2.4149467348562,0.39209403173010793
1.519,45.151043,-2.811008,-2.501926,44.94162,-2.64182,-3.352035,0.760274,0.734012072071831,0.821963047131162,0.39209403173010793
1.517,45.151043,-2.811008,-2.501926,42.793365,-2.900251,-1.820894,1.24857,1.20544100262106,2.28828077157615,0.24748890874897264
1.518,45.151043,-2.811008,-2.501926,45.178856,-3.391616,-2.987074,0.792902,0.765513012374353,0.802192716868562,0.24748890874897264
1.517,45.151043,-2.811008,-2.501926,42.793365,-2.900251,-1.820894,1.24857,1.20544100262106,2.28828077157615,0.22075187910473745
1.519,45.151043,-2.811008,-2.501926,44.94162,-2.64182,-3.352035,0.760274,0.734012072071831,0.821963047131162,0.22075187910473745
1.571,51.473465,51.352066,36.877335,55.54303,54.492077,39.5331,2.64,2.54880723301025,4.08089358684242,0.16889675461377135
3.514,55.034206,51.75491,36.871132,57.032524,55.218678,37.564484,2.70135,2.60803803745918,2.19252176817759,0.16889675461377135
1.720,65.826447,-1.697951,5.454526,67.051346,-1.637203,3.425771,2.08,2.0081511532808,1.96688276018876,0.2921074751607062
3.475,66.627518,-1.538718,3.45059,67.064919,-1.275448,3.165702,2.16585,2.0910356612179,0.547559195488068,0.2921074751607062
1.720,65.826447,-1.697951,5.454526,67.051346,-1.637203,3.425771,2.08,2.0081511532808,1.96688276018876,0.739286606434977
3.478,66.627518,-1.538718,3.45059,66.708221,-1.530576,3.61918,1.71328,1.65409865764083,0.161575414091489,0.739286606434977
1.720,65.826447,-1.697951,5.454526,67.051346,-1.637203,3.425771,2.08,2.0081511532808,1.96688276018876,0.4337234892442192
3.481,66.627518,-1.538718,3.45059,67.027954,-1.380901,3.205375,1.71165,1.65252496226591,0.433299955779215,0.4337234892442192
1.721,67.051346,-1.637362,3.425857,67.186905,-2.95006,3.583408,2.3,2.22055175603165,1.70106426957094,0.32273151397463523
3.478,66.627518,-1.538718,3.45059,66.708221,-1.530576,3.61918,1.71328,1.65409865764083,0.161575414091489,0.32273151397463523
1.726,65.826447,-1.626604,5.562673,67.051346,-1.637382,3.514867,2.45,2.36537034881633,1.98281007618809,0.29838154329996985
3.475,66.627518,-1.538718,3.45059,67.064919,-1.275448,3.165702,2.16585,2.0910356612179,0.547559195488068,0.29838154329996985
1.726,65.826447,-1.626604,5.562673,67.051346,-1.637382,3.514867,2.45,2.36537034881633,1.98281007618809,0.20450133499446557
3.478,66.627518,-1.538718,3.45059,66.708221,-1.530576,3.61918,1.71328,1.65409865764083,0.161575414091489,0.20450133499446557
1.730,67.426811,-2.186042,3.996931,66.76371,-3.188196,3.504646,1.87,1.80540512338226,1.48477178597193,0.19762835544897167
3.478,66.627518,-1.538718,3.45059,66.708221,-1.530576,3.61918,1.71328,1.65409865764083,0.161575414091489,0.19762835544897167
1.752,60.024014,-45.631672,44.886452,60.657871,-42.997601,41.651669,1.21,1.1682033151297,1.24503242685083,0.24252168093684068
3.407,61.055126,-45.734715,42.335033,57.96484,-41.877796,40.662785,1.528,1.4752187318332,3.00679651380053,0.24252168093684068
1.860,23.538761,-4.417905,-20.235949,23.966774,-6.903216,-22.121408,3.26,3.14739074985356,2.37574316092186,0.35420041297259147
1.862,23.605213,-7.957049,-20.846567,23.704475,-3.552516,-22.393524,3.1,2.99291758421658,3.86763546633068,0.35420041297259147
1.913,52.608536,-1.90264,0.457344,53.373711,0.931705,-0.332856,3.63,3.50460994538909,4.21600645347342,0.24521716191517687
1.1181,52.707874,-0.509537,0.432108,53.004173,-0.130079,-1.892733,2.90909,2.8086021338931,2.33975653782243,0.24521716191517687
1.913,52.608536,-1.90264,0.457344,53.373711,0.931705,-0.332856,3.63,3.50460994538909,4.21600645347342,0.470939197919972
1.1355,52.960438,-0.215942,0.16867,53.276279,-1.970127,-0.912755,3.18519,3.07516489034542,2.66802809863955,0.470939197919972
1.913,52.608536,-1.90264,0.457344,53.373711,0.931705,-0.332856,3.63,3.50460994538909,4.21600645347342,0.35874649739592507
1.1357,52.960438,-0.215942,0.16867,52.674797,1.47451,-0.956135,3.0963,2.98934539226122,2.68511661884008,0.35874649739592507
1.913,52.608536,-1.90264,0.457344,53.373711,0.931705,-0.332856,3.63,3.50460994538909,4.21600645347342,0.15364511472412684
1.1362,52.960438,-0.215942,0.16867,53.080578,1.462485,1.143956,2.88148,2.78194585824787,2.5907448600467,0.15364511472412684
1.1143,47.235798,-4.873497,-25.659845,48.032433,-6.229394,-26.16704,0.899281,0.868217392919958,1.38607974860663,0.163132993489641
1.1292,46.974487,-5.338224,-24.143667,50.132732,-5.439182,-23.602091,1.47228,1.42142345190012,3.14602643706531,0.163132993489641
1.1143,47.235798,-4.873497,-25.659845,48.032433,-6.229394,-26.16704,0.899281,0.868217392919958,1.38607974860663,0.17053025002986827
