Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000,GradoDE
1.2,44.55673242422589,-31.310796375143724,-32.7788731802628,49.09338240098472,-32.89156552620898,-37.24085939074111,3.3096,3.17638983244521,4.70461419866853,0.3978046969084955
1.11,44.55673242422589,-31.310796375143724,-32.7788731802628,46.98367114562888,-33.135969953626585,-37.33825827730328,2.68277,2.57478950652316,2.857787329596,0.3978046969084955
1.2,44.55673242422589,-31.310796375143724,-32.7788731802628,49.09338240098472,-32.89156552620898,-37.24085939074111,3.3096,3.17638983244521,4.70461419866853,0.2844530724272979
1.14,44.55673242422589,-31.310796375143724,-32.7788731802628,50.70124257294488,-31.401667670629074,-35.83435928903347,3.45645,3.31732917462994,6.16255369078465,0.2844530724272979
1.2,44.55673242422589,-31.310796375143724,-32.7788731802628,49.09338240098472,-32.89156552620898,-37.24085939074111,3.3096,3.17638983244521,4.70461419866853,0.07070211890142138
1.18,44.55673242422589,-31.310796375143724,-32.7788731802628,45.90284515880172,-30.979943716750086,-38.6178454161741,2.69676,2.58821641423282,2.6524358389437,0.07070211890142138
1.2,44.55673242422589,-31.310796375143724,-32.7788731802628,49.09338240098472,-32.89156552620898,-37.24085939074111,3.3096,3.17638983244521,4.70461419866853,0.09784494012306885
1.19,44.55673242422589,-31.310796375143724,-32.7788731802628,46.8601399359612,-29.783546191118752,-36.57731526893082,2.7616,2.65044662837826,2.87595522128858,0.09784494012306885
1.2,44.55673242422589,-31.310796375143724,-32.7788731802628,49.09338240098472,-32.89156552620898,-37.24085939074111,3.3096,3.17638983244521,4.70461419866853,0.23507683104472402
1.29,44.55673242422589,-31.310796375143724,-32.7788731802628,47.82108394072845,-32.32361774322337,-35.42448078280256,2.90655,2.78956244485546,3.29653748274718,0.23507683104472402
1.5,44.55673242422589,-31.310796375143724,-32.7788731802628,39.18523465613319,-28.413694090102442,-35.944357832644094,2.92117,2.80359399529973,5.27779904743525,0.08580195849883378
1.20,44.55673242422589,-31.310796375143724,-32.7788731802628,42.05408288733607,-29.020140528163207,-38.65707521343469,2.51558,2.41432884176412,3.6208200393378,0.08580195849883378
