Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000,GradoDE00
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.40710883840005735
1.10,36.39,4.7,-31.36,37.01,3.54,-29.08,1.4874000502671247,1.08002426623015,0.840007967038572,0.40710883840005735
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.7330977777318344
1.17,36.39,4.7,-31.36,36.51,5.52,-31.23,1.3378726026321768,0.971450065746934,0.708936119786286,0.7330977777318344
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.5932323111520664
1.22,36.39,4.7,-31.36,36.28,3.52,-29.45,1.2988266992050448,0.943098228716343,0.569863292956273,0.5932323111520664
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.8593759257784213
1.23,36.39,4.7,-31.36,35.75,4.51,-30.75,1.069015971657292,0.776229092333034,0.571453107336841,0.8593759257784213
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.6155339215557791
1.29,36.39,4.7,-31.36,35.03,4.52,-30.93,1.4253874014968224,1.03499591912662,1.13616345999981,0.6155339215557791
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.5794255111272568
1.37,36.39,4.7,-31.36,37.08,5.25,-32.08,1.4059032724821652,1.0208481905943,0.624174715455716,0.5794255111272568
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.4471761859867007
1.43,36.39,4.7,-31.36,36.63,4.51,-32.0,1.4600766753454384,1.06018433948327,0.498816860166341,0.4471761859867007
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.7053666847406972
1.49,36.39,4.7,-31.36,37.16,4.82,-31.11,1.3531944898592314,0.982575525749733,0.682599130711659,0.7053666847406972
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.40599285298539195
1.52,36.39,4.7,-31.36,36.96,5.26,-30.65,1.5935708637734705,1.15711654243749,0.913741255744999,0.40599285298539195
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.796792710020241
1.53,36.39,4.7,-31.36,36.54,5.67,-31.34,1.2758590421020883,0.926421056426043,0.779902996768913,0.796792710020241
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.429492618178671
1.54,36.39,4.7,-31.36,36.58,5.58,-32.6,1.2684149321056604,0.921015772595048,0.399502085214153,0.429492618178671
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.7264377429666913
1.62,36.39,4.7,-31.36,36.58,4.73,-30.55,1.0553785119190746,0.766326720923443,0.465812494953592,0.7264377429666913
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.44055117177947706
1.65,36.39,4.7,-31.36,36.96,4.18,-29.62,1.548969254280965,1.12473062103528,0.766572026969221,0.44055117177947706
1.4,36.39,4.7,-31.36,36.19,5.36,-30.51,3.591257457891899,2.60766778979199,0.94006822513333,0.48272312496522707
1.66,36.39,4.7,-31.36,35.94,4.42,-31.57,1.4415567248474217,1.04673671629046,0.490265766101595,0.48272312496522707
