Pair,L1,a1,b1,L2,a2,b2,DV,DV normF1,DECIEDE2000,GradoDE00
1.6,23.67144196289938,16.349602964549128,-43.363049185896905,18.583401631959156,24.00244511418667,-45.98114983074435,3.75,4.83136645921002,5.32520566752092,0.6615596709764958
1.11,23.67144196289938,16.349602964549128,-43.363049185896905,20.245997279636406,24.133832474023816,-43.92762944005894,6.03,7.76883726640971,5.40649555822276,0.6615596709764958
1.6,23.67144196289938,16.349602964549128,-43.363049185896905,18.583401631959156,24.00244511418667,-45.98114983074435,3.75,4.83136645921002,5.32520566752092,0.7963225435718453
1.45,23.67144196289938,16.349602964549128,-43.363049185896905,18.4572405878433,25.36569598256791,-46.99975171356454,5.38,6.93140041347997,5.74480302216971,0.7963225435718453
1.8,23.67144196289938,16.349602964549128,-43.363049185896905,24.580963919504768,11.310958336900962,-43.60201377844424,2.97,3.82644223569433,3.66905463763132,0.7606028021002299
1.24,23.67144196289938,16.349602964549128,-43.363049185896905,24.769002739044332,10.310783976963029,-43.02801843388533,5.03,6.48047287728704,4.14426576414469,0.7606028021002299
1.9,23.67144196289938,16.349602964549128,-43.363049185896905,18.277280909633582,27.00507506560265,-44.108118609226466,8.83,11.3762575559532,7.51948830694372,0.9797921852112016
1.20,23.67144196289938,16.349602964549128,-43.363049185896905,18.547339364875995,26.696787033699433,-44.19248044478733,7.01,9.03143436774992,7.23907375146764,0.9797921852112016
1.23,23.67144196289938,16.349602964549128,-43.363049185896905,28.98159561193605,4.002478486655248,-40.587335026495275,8.11,10.4486351957849,8.552094221166,0.9257175946429059
1.41,23.67144196289938,16.349602964549128,-43.363049185896905,28.618537511707807,4.554041943390458,-40.94287968776536,6.1,7.85902277364829,8.19791779717624,0.9257175946429059
1.24,23.67144196289938,16.349602964549128,-43.363049185896905,24.769002739044332,10.310783976963029,-43.02801843388533,5.03,6.48047287728704,4.14426576414469,0.8540872154363627
1.39,23.67144196289938,16.349602964549128,-43.363049185896905,25.50392512391312,10.769663648352578,-42.46131739962576,3.56,4.58657722527671,3.74338539470147,0.8540872154363627
2.6,20.043897069064762,-17.323029845872945,-9.475182938098081,24.35289153637987,-24.721010217993168,-9.459095411692452,3.7,4.76694823975388,5.31665995022216,0.7839064477126774
2.32,20.043897069064762,-17.323029845872945,-9.475182938098081,23.930497116610056,-24.766593211596494,-7.68690336063581,5.05,6.50624016506949,5.57027271239731,0.7839064477126774
3.2,54.02700454685316,-20.12756814617139,-27.127244338499512,51.11068922773383,-7.527396044795632,-28.221164634274842,4.96,6.39028737004845,8.2817780909383,0.8517597798689044
3.15,54.02700454685316,-20.12756814617139,-27.127244338499512,50.74581242855109,-7.069577593145304,-27.75964887317095,7.44,9.58543105507267,8.69957816082339,0.8517597798689044
3.4,54.02700454685316,-20.12756814617139,-27.127244338499512,49.03181763784961,-15.502508337462418,-30.503537554672032,6.2,7.98785921256056,5.90999544093364,0.912492894532217
3.10,54.02700454685316,-20.12756814617139,-27.127244338499512,49.05211201230337,-15.991741361716604,-30.229056879966933,7.59,9.77868571344107,5.72640720110565,0.912492894532217
3.7,54.02700454685316,-20.12756814617139,-27.127244338499512,56.282166934244216,-27.269586463725847,-26.01557788976978,5.12,6.59642567230808,4.29973045305797,0.7258600880564328
