Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000,GradoDE
4.18,20.043897069064762,2.6531209380629974,-21.62241478773269,18.27628893498683,7.625366361967339,-11.905441675901296,5.51,6.27526172949458,10.2965986506444,0.8221926384982798
4.21,20.043897069064762,2.6531209380629974,-21.62241478773269,19.013438612397607,9.09328835967993,-10.842846146054852,5.6,6.37776146736291,12.1072882606604,0.8221926384982798
4.22,20.043897069064762,2.6531209380629974,-21.62241478773269,22.992300886575443,-3.7120989602842935,-21.0535216977774,3.41,3.88360117923349,6.58895213023695,0.5644841147994824
4.46,20.043897069064762,2.6531209380629974,-21.62241478773269,24.12893310039248,-5.445810075378504,-19.699661580250762,3.76,4.28221127094367,8.34895844552828,0.5644841147994824
4.26,20.043897069064762,2.6531209380629974,-21.62241478773269,17.36668658587552,5.442753510870036,-18.767229038251244,3.26,3.71276828278627,4.53589470173787,0.5644380274323414
4.37,20.043897069064762,2.6531209380629974,-21.62241478773269,19.557510758991157,3.61745348446163,-18.503286028910072,3.11,3.54193538633904,2.57061074927762,0.5644380274323414
8.19,54.02700454685316,0.4307985723591701,-14.950171279285351,57.778597531264765,-9.559678910194602,-15.756387231372404,6.78,7.72164691941438,10.7627984810666,0.679002806504141
8.23,54.02700454685316,0.4307985723591701,-14.950171279285351,58.35443770137671,-11.64744966338571,-14.965773344232968,6.71,7.64192490107234,12.5009092372449,0.679002806504141
8.39,54.02700454685316,0.4307985723591701,-14.950171279285351,51.302409776251054,7.685899615902992,-14.772028041685381,6.92,7.88109095609845,9.11445698068256,0.5923714376694895
8.45,54.02700454685316,0.4307985723591701,-14.950171279285351,52.01181228259428,6.277794996008945,-14.426611468942552,6.75,7.68748034012494,7.54938378870048,0.5923714376694895
9.6,77.28083759926615,-1.1542638880540634,-4.941451337546021,77.4301938859124,1.4995825831108367,-4.067951539308501,3.34,3.80387916089145,3.89581349366332,0.9151748961968457
9.38,77.28083759926615,-1.1542638880540634,-4.941451337546021,77.75878858548211,2.614900742434867,-3.336906110794513,3.24,3.68999056325997,5.71062628670146,0.9151748961968457
9.8,77.28083759926615,-1.1542638880540634,-4.941451337546021,74.0754376107981,1.0276951258821332,-7.085994897323,4.69,5.34137522891644,4.17655194409734,0.8314397850371723
9.26,77.28083759926615,-1.1542638880540634,-4.941451337546021,72.84148560266213,2.192722710661954,-8.424291501410618,4.53,5.15915347270607,6.17953050943045,0.8314397850371723
9.10,77.28083759926615,-1.1542638880540634,-4.941451337546021,77.26092386906973,-4.9708497981577615,-6.747345511394953,4.13,4.70359908218015,4.68729694403518,0.6355381295666236
9.17,77.28083759926615,-1.1542638880540634,-4.941451337546021,76.81287481786708,-6.97172899243359,-7.566371940114425,4.54,5.17054233246922,6.77524358797799,0.6355381295666236
9.10,77.28083759926615,-1.1542638880540634,-4.941451337546021,77.26092386906973,-4.9708497981577615,-6.747345511394953,4.13,4.70359908218015,4.68729694403518,0.5741457406813195
9.23,77.28083759926615,-1.1542638880540634,-4.941451337546021,78.78449626204798,-6.935087731600287,-5.36211888792022,4.05,4.61248820407496,6.79945999867833,0.5741457406813195
9.10,77.28083759926615,-1.1542638880540634,-4.941451337546021,77.26092386906973,-4.9708497981577615,-6.747345511394953,4.13,4.70359908218015,4.68729694403518,0.6949320090468063
9.30,77.28083759926615,-1.1542638880540634,-4.941451337546021,76.97217778744937,-6.506082263989354,-7.698496522170739,4.3,4.89720969815366,6.34105228661701,0.6949320090468063
9.28,77.28083759926615,-1.1542638880540634,-4.941451337546021,77.28083759926615,4.463042119903338,-2.8230932377448115,4.46,5.07943145436403,8.29596108774459,0.6617030958337425
9.42,77.28083759926615,-1.1542638880540634,-4.941451337546021,77.6492552641592,3.172460734258975,-3.4219129931083447,4.02,4.57832162478552,6.45488091111166,0.6617030958337425
9.29,77.28083759926615,-1.1542638880540634,-4.941451337546021,75.31958702301499,4.5898839244756235,-4.881350826513708,4.28,4.87443197862737,8.17645214278432,0.7596004315754138
9.37,77.28083759926615,-1.1542638880540634,-4.941451337546021,74.58302109463983,6.625540693469767,-4.780473638379057,4.6,5.23887549104811,10.6876832306189,0.7596004315754138
9.29,77.28083759926615,-1.1542638880540634,-4.941451337546021,75.31958702301499,4.5898839244756235,-4.881350826513708,4.28,4.87443197862737,8.17645214278432,0.6172170456959367
9.39,77.28083759926615,-1.1542638880540634,-4.941451337546021,76.84274382993345,5.929397303488903,-4.020889833614971,4.2,4.78332110052218,9.82547150304091,0.6172170456959367
9.32,77.28083759926615,-1.1542638880540634,-4.941451337546021,78.8442505618993,-5.99580358197227,-5.292289866101441,4.09,4.65804364312755,5.8561504574617,0.6075482734016795
9.33,77.28083759926615,-1.1542638880540634,-4.941451337546021,79.631057636881,-7.29595143728512,-3.8693322728317714,3.98,4.53276618573293,7.47646201509525,0.6075482734016795
10.22,74.189769129174,-10.957821272808976,6.524345794943476,75.07054320699378,-4.488568428164363,13.888937421722325,5.74,6.53720550404698,8.92740171346751,0.8428520925260041
10.42,74.189769129174,-10.957821272808976,6.524345794943476,74.35992065617702,-6.292087854499917,13.163121329337368,5.72,6.51442778452069,7.0179858953495,0.8428520925260041
10.40,74.189769129174,-10.957821272808976,6.524345794943476,74.80030778385454,-6.385549235090271,11.574022197739264,4.5,5.12498689341662,6.16796978197106,0.7125368774574191
10.41,74.189769129174,-10.957821272808976,6.524345794943476,74.8603605108055,-5.284133059136941,13.101130236118452,4.72,5.37554180820588,7.84859286559447,0.7125368774574191
11.1,52.94949465205231,0.19904096652190173,1.5191338140406518,49.89331949711833,5.893771046774409,3.612976605829221,6.13,6.98137103480976,7.88354004615135,0.6762134239534852
11.38,52.94949465205231,0.19904096652190173,1.5191338140406518,51.28208614221114,3.982104630713579,2.5057148805348595,6.1,6.94720445552031,5.3245952570902,0.6762134239534852
12.8,50.68720611576005,-17.243438663876788,19.088589323181992,49.485992964011146,-14.832165627418625,19.90020851738723,3.91,4.45304416739089,2.14348211888002,0.6379297487328588
12.38,50.68720611576005,-17.243438663876788,19.088589323181992,48.885361339788005,-12.671771319739566,20.33378054754056,3.96,4.50998846620663,3.83001570694017,0.6379297487328588
13.1,74.189769129174,14.878296791982159,-2.810230599148067,82.71666040339689,2.045229306278651,1.8026342335941026,7.93,9.03136579217641,14.1163346060489,0.6556953385249772
13.19,74.189769129174,14.878296791982159,-2.810230599148067,81.87953116712421,3.149712216559575,1.226734517751793,7.73,8.80358859691345,12.5172393814639,0.6556953385249772
13.6,74.189769129174,14.878296791982159,-2.810230599148067,81.4211342916447,2.2447834504533137,-0.7291224256781748,7.33,8.34803420638752,13.0287562245958,0.7125271874740293
13.18,74.189769129174,14.878296791982159,-2.810230599148067,80.76347494997299,3.893003353278357,-1.0021488546788637,6.92,7.88109095609845,11.0768201685614,0.7125271874740293
13.7,74.189769129174,14.878296791982159,-2.810230599148067,78.37240209281721,7.012906279619758,-0.9717987065614775,5.29,6.02470681470532,7.41620919253633,0.5781090496168554
13.13,74.189769129174,14.878296791982159,-2.810230599148067,79.45826470681745,5.374537955529446,0.4601817346911119,5.7,6.49165006499439,9.46036857966095,0.5781090496168554
13.26,74.189769129174,14.878296791982159,-2.810230599148067,76.56959799838918,10.481757673183267,-2.1607502923632227,3.24,3.68999056325997,3.89964717206426,0.6461183125944452
13.41,74.189769129174,14.878296791982159,-2.810230599148067,77.9540349004855,8.359157758787095,-2.142293672387896,3.56,4.05443407568071,6.04783118448147,0.6461183125944452
13.26,74.189769129174,14.878296791982159,-2.810230599148067,76.56959799838918,10.481757673183267,-2.1607502923632227,3.24,3.68999056325997,3.89964717206426,0.7462371446229374
13.46,74.189769129174,14.878296791982159,-2.810230599148067,78.11341063745502,8.710744089713007,-1.6426494728152274,3.35,3.8152680206546,5.83294782917631,0.7462371446229374
14.34,20.043897069064762,-17.323029845872945,20.26111766567224,15.273062935770795,-5.199614327849877,15.2680339906705,6.18,7.0383153336255,9.66709100528557,0.7777393893694442
14.35,20.043897069064762,-17.323029845872945,20.26111766567224,15.487228608870872,-3.3021714060093856,14.991890758999277,6.47,7.36859226675679,11.4679685759943,0.7777393893694442
14.35,20.043897069064762,-17.323029845872945,20.26111766567224,15.487228608870872,-3.3021714060093856,14.991890758999277,6.47,7.36859226675679,11.4679685759943,0.5764507463087151
14.38,20.043897069064762,-17.323029845872945,20.26111766567224,14.620480005581314,-1.7985031136977803,13.464503190656806,6.05,6.89026015670457,13.3436388529888,0.5764507463087151
15.4,73.54553450059505,9.415566335528979,5.413596435324597,79.16498421544269,0.459461892088453,6.297351517792027,6.98,7.94942411467734,11.6374014233037,0.645492733901547
15.17,73.54553450059505,9.415566335528979,5.413596435324597,79.99094317915414,-1.0247136183531014,8.109227297777434,6.64,7.56220288273031,14.3392424263727,0.645492733901547
